s_pc,x_pc,y_pc,z_pc
969.233,-406.677,-208.198,-143.767
971.05,-405.799,-206.699,-143.234
972.868,-404.922,-205.199,-142.699
974.689,-404.044,-203.698,-142.16
976.511,-403.167,-202.195,-141.619
978.336,-402.289,-200.691,-141.074
980.162,-401.412,-199.186,-140.527
981.99,-400.534,-197.68,-139.977
983.819,-399.657,-196.173,-139.424
985.651,-398.779,-194.664,-138.868
987.485,-397.902,-193.154,-138.309
989.32,-397.024,-191.643,-137.747
991.158,-396.147,-190.13,-137.183
992.998,-395.269,-188.616,-136.616
994.839,-394.392,-187.101,-136.046
996.682,-393.514,-185.585,-135.473
998.526,-392.637,-184.068,-134.898
1000.373,-391.759,-182.549,-134.319
1002.222,-390.882,-181.029,-133.738
1004.073,-390.004,-179.507,-133.155
1005.925,-389.127,-177.985,-132.568
1007.78,-388.249,-176.461,-131.979
1009.636,-387.372,-174.936,-131.388
1011.494,-386.494,-173.41,-130.793
1013.355,-385.617,-171.882,-130.196
1015.217,-384.739,-170.353,-129.597
1017.081,-383.862,-168.823,-128.994
1018.946,-382.984,-167.292,-128.39
1020.814,-382.107,-165.759,-127.782
1022.684,-381.229,-164.225,-127.172
1024.555,-380.352,-162.69,-126.559
1026.428,-379.474,-161.154,-125.944
1028.303,-378.597,-159.616,-125.327
1030.18,-377.719,-158.077,-124.707
1032.058,-376.842,-156.537,-124.084
1033.939,-375.964,-154.996,-123.459
1035.821,-375.087,-153.453,-122.831
1037.706,-374.209,-151.909,-122.201
1039.592,-373.332,-150.364,-121.569
1041.48,-372.454,-148.818,-120.934
1043.37,-371.577,-147.27,-120.296
1045.261,-370.699,-145.721,-119.657
1047.155,-369.822,-144.171,-119.015
1049.05,-368.944,-142.62,-118.37
1050.947,-368.067,-141.067,-117.723
1052.846,-367.189,-139.513,-117.074
1054.747,-366.312,-137.958,-116.423
1056.649,-365.434,-136.402,-115.769
1058.554,-364.557,-134.844,-115.113
1060.46,-363.679,-133.285,-114.455
1062.368,-362.802,-131.725,-113.794
1064.277,-361.924,-130.164,-113.132
1066.189,-361.047,-128.601,-112.467
1068.102,-360.169,-127.037,-111.8
1070.017,-359.292,-125.472,-111.13
1071.935,-358.414,-123.905,-110.459
1073.853,-357.537,-122.338,-109.785
1075.774,-356.659,-120.769,-109.109
1077.696,-355.782,-119.198,-108.432
