x	y	z	vz
-642.726	-565.812	-162.76	-9.103
-641.849	-564.65	-163.115	-9.071
-640.971	-563.488	-163.468	-9.039
-640.094	-562.324	-163.818	-9.007
-639.216	-561.159	-164.166	-8.975
-638.339	-559.992	-164.512	-8.942
-637.461	-558.825	-164.856	-8.909
-636.584	-557.656	-165.197	-8.877
-635.706	-556.486	-165.537	-8.843
-634.829	-555.314	-165.873	-8.81
-633.951	-554.142	-166.208	-8.777
-633.074	-552.968	-166.54	-8.743
-632.196	-551.793	-166.87	-8.709
-631.319	-550.616	-167.197	-8.676
-630.441	-549.439	-167.522	-8.641
-629.564	-548.26	-167.845	-8.607
-628.686	-547.079	-168.165	-8.573
-627.809	-545.898	-168.482	-8.538
-626.931	-544.715	-168.798	-8.503
-626.054	-543.531	-169.11	-8.468
-625.176	-542.346	-169.421	-8.433
-624.299	-541.16	-169.728	-8.398
-623.421	-539.972	-170.033	-8.362
-622.544	-538.783	-170.336	-8.327
-621.666	-537.593	-170.636	-8.291
-620.789	-536.401	-170.933	-8.255
-619.911	-535.209	-171.228	-8.219
-619.034	-534.015	-171.52	-8.182
-618.156	-532.819	-171.81	-8.146
-617.278	-531.623	-172.097	-8.109
-616.401	-530.425	-172.381	-8.072
-615.523	-529.226	-172.663	-8.035
-614.646	-528.026	-172.941	-7.998
-613.768	-526.824	-173.218	-7.961
-612.891	-525.622	-173.491	-7.923
-612.013	-524.418	-173.762	-7.886
-611.136	-523.212	-174.03	-7.848
-610.258	-522.006	-174.295	-7.81
-609.381	-520.798	-174.557	-7.772
-608.503	-519.589	-174.817	-7.733
-607.626	-518.379	-175.073	-7.695
-606.748	-517.167	-175.327	-7.656
-605.871	-515.955	-175.578	-7.618
-604.993	-514.74	-175.826	-7.579
-604.116	-513.525	-176.072	-7.54
-603.238	-512.309	-176.314	-7.5
-602.361	-511.091	-176.554	-7.461
-601.483	-509.872	-176.79	-7.421
-600.606	-508.651	-177.024	-7.382
-599.728	-507.43	-177.254	-7.342
-598.851	-506.207	-177.482	-7.302
-597.973	-504.983	-177.707	-7.262
-597.096	-503.758	-177.929	-7.221
-596.218	-502.531	-178.147	-7.181
-595.341	-501.303	-178.363	-7.14
-594.463	-500.074	-178.576	-7.099
-593.586	-498.844	-178.785	-7.058
-592.708	-497.612	-178.992	-7.017
-591.831	-496.379	-179.195	-6.976
-590.953	-495.145	-179.396	-6.935
-590.076	-493.91	-179.593	-6.893
-589.198	-492.673	-179.787	-6.852
-588.321	-491.435	-179.979	-6.81
-587.443	-490.196	-180.167	-6.768
-586.566	-488.956	-180.351	-6.726
-585.688	-487.714	-180.533	-6.684
-584.811	-486.471	-180.711	-6.641
-583.933	-485.227	-180.887	-6.599
-583.056	-483.982	-181.059	-6.556
-582.178	-482.735	-181.228	-6.513
-581.301	-481.487	-181.393	-6.47
-580.423	-480.238	-181.556	-6.427
-579.546	-478.988	-181.715	-6.384
-578.668	-477.736	-181.871	-6.341
-577.791	-476.483	-182.024	-6.297
-576.913	-475.229	-182.173	-6.254
-576.036	-473.974	-182.319	-6.21
-575.158	-472.717	-182.462	-6.166
-574.281	-471.459	-182.601	-6.122
-573.403	-470.2	-182.738	-6.078
